,Station,GTPName,DT,Year,Month,Day,Hour,TG,RSV_volume,RD_volume,RSV_Price,AVG_Price
134,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-01 07:00:00,2020,2,1,7,136.0,77.467,58.533,806.05083,806.05081
135,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-01 08:00:00,2020,2,1,8,364.0,207.338,156.662,817.11539,817.11541
136,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-01 09:00:00,2020,2,1,9,0.0,0.0,19.304,0.0,1252.265
137,Череповецкая ГРЭС             ,GVOLOG10,2020-02-01 10:00:00,2020,2,1,10,427.5,355.4,72.1,1286.77341,1286.7734
138,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-01 11:00:00,2020,2,1,11,1398.0,1082.367,315.633,877.8907,877.8907
139,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-01 12:00:00,2020,2,1,12,827.75,640.864,186.886,882.91689,882.91688
140,Троицкая ГРЭС                 ,GTROIGR4,2020-02-01 13:00:00,2020,2,1,13,0.0,0.0,21.235,0.0,1104.5715
141,Троицкая ГРЭС                 ,GTROIGR3,2020-02-01 14:00:00,2020,2,1,14,0.0,0.0,0.0,0.0,1109.8628
142,Троицкая ГРЭС                 ,GTROIGR1,2020-02-01 15:00:00,2020,2,1,15,35.0,35.0,0.0,1116.22486,1116.22486
143,Серовская ГРЭС                ,GSVERD30,2020-02-01 16:00:00,2020,2,1,16,427.68,359.807,67.873,1054.9678,1054.9678
144,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-01 17:00:00,2020,2,1,17,0.0,0.0,0.0,0.0,1689.908
145,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-01 18:00:00,2020,2,1,18,165.0,76.831,88.169,1744.63823,1739.21327
146,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-01 19:00:00,2020,2,1,19,155.0,66.831,88.169,1723.81006,1710.732
147,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-01 20:00:00,2020,2,1,20,280.0,91.286,188.714,1701.00421,1701.00421
148,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-01 21:00:00,2020,2,1,21,140.0,45.951,94.049,1671.92966,1671.92971
149,Рязанская ГРЭС                ,GRYAZGR4,2020-02-01 22:00:00,2020,2,1,22,0.0,0.0,3.992,0.0,1091.4731
150,Рязанская ГРЭС                ,GRYAZGR3,2020-02-01 23:00:00,2020,2,1,23,0.0,0.0,6.364,0.0,1001.7084
151,Рязанская ГРЭС                ,GRYAZGR2,2020-02-02 00:00:00,2020,2,2,0,0.0,0.0,7.985,0.0,1023.64307
152,Рязанская ГРЭС                ,GRYAZGR1,2020-02-02 01:00:00,2020,2,2,1,0.0,0.0,24.573,0.0,945.2178
153,Псковская ГРЭС                ,GPSKOGR2,2020-02-02 02:00:00,2020,2,2,2,0.0,0.0,0.879,0.0,832.6378
154,Псковская ГРЭС                ,GPSKOGR1,2020-02-02 03:00:00,2020,2,2,3,0.0,0.0,0.878,0.0,809.90063
155,Новочеркасская ГРЭС           ,GNCHEGRE,2020-02-02 04:00:00,2020,2,2,4,450.0,417.097,32.903,969.89484,969.89484
156,Новочеркасская ГРЭС           ,GNCHEGR3,2020-02-02 05:00:00,2020,2,2,5,450.0,387.635,62.365,1008.98412,1008.98413
